"Participant"	"Gender"	"Background"	"Position"	"Lecturer"	"Grade"	"GradeNumerical"
1	"Female"	"More dry lab"	"PostDoc"	"RobertVaser_workshop"	"Good"	2
2	"Male"	"More dry lab"	"MSc"	"RobertVaser_workshop"	"Below average"	4
3	"Male"	"More dry lab"	"MSc"	"RobertVaser_workshop"	"Good"	2
4	"Male"	"More dry lab"	"PostDoc"	"RobertVaser_workshop"	"Good"	2
5	"Male"	"More dry lab"	"MSc"	"RobertVaser_workshop"	"Below average"	4
6	"Female"	"More dry lab"	"MSc"	"RobertVaser_workshop"	"Excellent"	1
7	"Male"	"More dry lab"	"PhD"	"RobertVaser_workshop"	"Good"	2
8	"Male"	"More dry lab"	"MSc"	"RobertVaser_workshop"	"Average"	3
9	"Female"	"More dry lab"	"MSc"	"RobertVaser_workshop"	"Average"	3
10	"Female"	"More wet lab"	"MSc"	"RobertVaser_workshop"	"Average"	3
11	"Female"	"More dry lab"	"MSc"	"RobertVaser_workshop"	"Good"	2
12	"Female"	"More wet lab"	"PhD"	"RobertVaser_workshop"	"Good"	2
13	"Male"	"More wet lab"	"MSc"	"RobertVaser_workshop"	"Average"	3
14	"Male"	"More wet lab"	"PhD"	"RobertVaser_workshop"	"Below average"	4
15	"Male"	"More wet lab"	"MSc"	"RobertVaser_workshop"	"Excellent"	1
16	"Female"	"More dry lab"	"MSc"	"RobertVaser_workshop"	"Good"	2
17	"Male"	"More wet lab"	"PostDoc"	"RobertVaser_workshop"	"Below average"	4
18	"Male"	"More dry lab"	"PhD"	"RobertVaser_workshop"	"Good"	2
19	"Male"	"More dry lab"	"Industry specialist"	"RobertVaser_workshop"	"Good"	2
20	"Female"	"More wet lab"	"PhD"	"RobertVaser_workshop"	"Average"	3
21	"Male"	"More dry lab"	"MSc"	"RobertVaser_workshop"	"Excellent"	1
22	"Female"	"More dry lab"	"PhD"	"RobertVaser_workshop"	"Good"	2
23	"Female"	"More dry lab"	"MSc"	"RobertVaser_workshop"	"Excellent"	1
24	"Female"	"More dry lab"	"PhD"	"RobertVaser_workshop"	"Good"	2
25	"Male"	"More wet lab"	"MSc"	"RobertVaser_workshop"	"Good"	2
26	"Female"	"More dry lab"	"PhD"	"RobertVaser_workshop"	"Good"	2
27	"Male"	"More wet lab"	"PhD"	"RobertVaser_workshop"	"Below average"	4
28	"Male"	"More dry lab"	"MSc"	"RobertVaser_workshop"	"Excellent"	1
1	"Female"	"More dry lab"	"PostDoc"	"AndrejPrjibelski_workshop"	"Excellent"	1
2	"Male"	"More dry lab"	"MSc"	"AndrejPrjibelski_workshop"	"Excellent"	1
3	"Male"	"More dry lab"	"MSc"	"AndrejPrjibelski_workshop"	"Average"	3
4	"Male"	"More dry lab"	"PostDoc"	"AndrejPrjibelski_workshop"	"Excellent"	1
5	"Male"	"More dry lab"	"MSc"	"AndrejPrjibelski_workshop"	"Excellent"	1
6	"Female"	"More dry lab"	"MSc"	"AndrejPrjibelski_workshop"	"Excellent"	1
7	"Male"	"More dry lab"	"PhD"	"AndrejPrjibelski_workshop"	"Good"	2
8	"Male"	"More dry lab"	"MSc"	"AndrejPrjibelski_workshop"	"Excellent"	1
9	"Female"	"More dry lab"	"MSc"	"AndrejPrjibelski_workshop"	"Excellent"	1
10	"Female"	"More wet lab"	"MSc"	"AndrejPrjibelski_workshop"	"Good"	2
11	"Female"	"More dry lab"	"MSc"	"AndrejPrjibelski_workshop"	"Excellent"	1
12	"Female"	"More wet lab"	"PhD"	"AndrejPrjibelski_workshop"	"Good"	2
13	"Male"	"More wet lab"	"MSc"	"AndrejPrjibelski_workshop"	"Good"	2
14	"Male"	"More wet lab"	"PhD"	"AndrejPrjibelski_workshop"	"Good"	2
15	"Male"	"More wet lab"	"MSc"	"AndrejPrjibelski_workshop"	"Excellent"	1
16	"Female"	"More dry lab"	"MSc"	"AndrejPrjibelski_workshop"	"Excellent"	1
17	"Male"	"More wet lab"	"PostDoc"	"AndrejPrjibelski_workshop"	"Good"	2
18	"Male"	"More dry lab"	"PhD"	"AndrejPrjibelski_workshop"	"Good"	2
20	"Female"	"More wet lab"	"PhD"	"AndrejPrjibelski_workshop"	"Excellent"	1
21	"Male"	"More dry lab"	"MSc"	"AndrejPrjibelski_workshop"	"Good"	2
22	"Female"	"More dry lab"	"PhD"	"AndrejPrjibelski_workshop"	"Excellent"	1
23	"Female"	"More dry lab"	"MSc"	"AndrejPrjibelski_workshop"	"Excellent"	1
24	"Female"	"More dry lab"	"PhD"	"AndrejPrjibelski_workshop"	"Average"	3
25	"Male"	"More wet lab"	"MSc"	"AndrejPrjibelski_workshop"	"Excellent"	1
26	"Female"	"More dry lab"	"PhD"	"AndrejPrjibelski_workshop"	"Excellent"	1
27	"Male"	"More wet lab"	"PhD"	"AndrejPrjibelski_workshop"	"Good"	2
28	"Male"	"More dry lab"	"MSc"	"AndrejPrjibelski_workshop"	"Excellent"	1
1	"Female"	"More dry lab"	"PostDoc"	"FritzSedlazeck_workshop"	"Good"	2
2	"Male"	"More dry lab"	"MSc"	"FritzSedlazeck_workshop"	"Good"	2
3	"Male"	"More dry lab"	"MSc"	"FritzSedlazeck_workshop"	"Good"	2
4	"Male"	"More dry lab"	"PostDoc"	"FritzSedlazeck_workshop"	"Excellent"	1
5	"Male"	"More dry lab"	"MSc"	"FritzSedlazeck_workshop"	"Good"	2
6	"Female"	"More dry lab"	"MSc"	"FritzSedlazeck_workshop"	"Excellent"	1
7	"Male"	"More dry lab"	"PhD"	"FritzSedlazeck_workshop"	"Excellent"	1
8	"Male"	"More dry lab"	"MSc"	"FritzSedlazeck_workshop"	"Good"	2
9	"Female"	"More dry lab"	"MSc"	"FritzSedlazeck_workshop"	"Good"	2
10	"Female"	"More wet lab"	"MSc"	"FritzSedlazeck_workshop"	"Good"	2
11	"Female"	"More dry lab"	"MSc"	"FritzSedlazeck_workshop"	"Excellent"	1
12	"Female"	"More wet lab"	"PhD"	"FritzSedlazeck_workshop"	"Excellent"	1
13	"Male"	"More wet lab"	"MSc"	"FritzSedlazeck_workshop"	"Excellent"	1
14	"Male"	"More wet lab"	"PhD"	"FritzSedlazeck_workshop"	"Excellent"	1
15	"Male"	"More wet lab"	"MSc"	"FritzSedlazeck_workshop"	"Excellent"	1
16	"Female"	"More dry lab"	"MSc"	"FritzSedlazeck_workshop"	"Good"	2
17	"Male"	"More wet lab"	"PostDoc"	"FritzSedlazeck_workshop"	"Excellent"	1
18	"Male"	"More dry lab"	"PhD"	"FritzSedlazeck_workshop"	"Good"	2
19	"Male"	"More dry lab"	"Industry specialist"	"FritzSedlazeck_workshop"	"Good"	2
20	"Female"	"More wet lab"	"PhD"	"FritzSedlazeck_workshop"	"Excellent"	1
21	"Male"	"More dry lab"	"MSc"	"FritzSedlazeck_workshop"	"Good"	2
22	"Female"	"More dry lab"	"PhD"	"FritzSedlazeck_workshop"	"Good"	2
23	"Female"	"More dry lab"	"MSc"	"FritzSedlazeck_workshop"	"Excellent"	1
24	"Female"	"More dry lab"	"PhD"	"FritzSedlazeck_workshop"	"Excellent"	1
25	"Male"	"More wet lab"	"MSc"	"FritzSedlazeck_workshop"	"Excellent"	1
26	"Female"	"More dry lab"	"PhD"	"FritzSedlazeck_workshop"	"Average"	3
27	"Male"	"More wet lab"	"PhD"	"FritzSedlazeck_workshop"	"Good"	2
28	"Male"	"More dry lab"	"MSc"	"FritzSedlazeck_workshop"	"Excellent"	1
1	"Female"	"More dry lab"	"PostDoc"	"AndreKahles_workshop"	"Excellent"	1
2	"Male"	"More dry lab"	"MSc"	"AndreKahles_workshop"	"Good"	2
3	"Male"	"More dry lab"	"MSc"	"AndreKahles_workshop"	"Excellent"	1
4	"Male"	"More dry lab"	"PostDoc"	"AndreKahles_workshop"	"Excellent"	1
5	"Male"	"More dry lab"	"MSc"	"AndreKahles_workshop"	"Excellent"	1
7	"Male"	"More dry lab"	"PhD"	"AndreKahles_workshop"	"Good"	2
8	"Male"	"More dry lab"	"MSc"	"AndreKahles_workshop"	"Excellent"	1
9	"Female"	"More dry lab"	"MSc"	"AndreKahles_workshop"	"Excellent"	1
10	"Female"	"More wet lab"	"MSc"	"AndreKahles_workshop"	"Good"	2
11	"Female"	"More dry lab"	"MSc"	"AndreKahles_workshop"	"Excellent"	1
12	"Female"	"More wet lab"	"PhD"	"AndreKahles_workshop"	"Good"	2
13	"Male"	"More wet lab"	"MSc"	"AndreKahles_workshop"	"Excellent"	1
14	"Male"	"More wet lab"	"PhD"	"AndreKahles_workshop"	"Excellent"	1
16	"Female"	"More dry lab"	"MSc"	"AndreKahles_workshop"	"Excellent"	1
17	"Male"	"More wet lab"	"PostDoc"	"AndreKahles_workshop"	"Excellent"	1
18	"Male"	"More dry lab"	"PhD"	"AndreKahles_workshop"	"Excellent"	1
19	"Male"	"More dry lab"	"Industry specialist"	"AndreKahles_workshop"	"Average"	3
20	"Female"	"More wet lab"	"PhD"	"AndreKahles_workshop"	"Excellent"	1
21	"Male"	"More dry lab"	"MSc"	"AndreKahles_workshop"	"Excellent"	1
22	"Female"	"More dry lab"	"PhD"	"AndreKahles_workshop"	"Good"	2
24	"Female"	"More dry lab"	"PhD"	"AndreKahles_workshop"	"Good"	2
25	"Male"	"More wet lab"	"MSc"	"AndreKahles_workshop"	"Excellent"	1
26	"Female"	"More dry lab"	"PhD"	"AndreKahles_workshop"	"Good"	2
27	"Male"	"More wet lab"	"PhD"	"AndreKahles_workshop"	"Excellent"	1
28	"Male"	"More dry lab"	"MSc"	"AndreKahles_workshop"	"Excellent"	1
1	"Female"	"More dry lab"	"PostDoc"	"AlbaSanchisJuan_workshop"	"Excellent"	1
2	"Male"	"More dry lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Good"	2
4	"Male"	"More dry lab"	"PostDoc"	"AlbaSanchisJuan_workshop"	"Excellent"	1
5	"Male"	"More dry lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Excellent"	1
6	"Female"	"More dry lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Excellent"	1
7	"Male"	"More dry lab"	"PhD"	"AlbaSanchisJuan_workshop"	"Good"	2
8	"Male"	"More dry lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Good"	2
9	"Female"	"More dry lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Excellent"	1
10	"Female"	"More wet lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Good"	2
11	"Female"	"More dry lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Good"	2
12	"Female"	"More wet lab"	"PhD"	"AlbaSanchisJuan_workshop"	"Excellent"	1
13	"Male"	"More wet lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Excellent"	1
14	"Male"	"More wet lab"	"PhD"	"AlbaSanchisJuan_workshop"	"Excellent"	1
16	"Female"	"More dry lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Good"	2
17	"Male"	"More wet lab"	"PostDoc"	"AlbaSanchisJuan_workshop"	"Excellent"	1
18	"Male"	"More dry lab"	"PhD"	"AlbaSanchisJuan_workshop"	"Below average"	4
19	"Male"	"More dry lab"	"Industry specialist"	"AlbaSanchisJuan_workshop"	"Average"	3
20	"Female"	"More wet lab"	"PhD"	"AlbaSanchisJuan_workshop"	"Excellent"	1
21	"Male"	"More dry lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Good"	2
22	"Female"	"More dry lab"	"PhD"	"AlbaSanchisJuan_workshop"	"Good"	2
23	"Female"	"More dry lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Good"	2
24	"Female"	"More dry lab"	"PhD"	"AlbaSanchisJuan_workshop"	"Good"	2
25	"Male"	"More wet lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Excellent"	1
26	"Female"	"More dry lab"	"PhD"	"AlbaSanchisJuan_workshop"	"Excellent"	1
27	"Male"	"More wet lab"	"PhD"	"AlbaSanchisJuan_workshop"	"Excellent"	1
